number,temperature,pressure,acceleration
280,23.25,1010.49,"[9.57129, -0.0784532, -0.23536]"
281,23.625,1010.25,"[9.84587, -0.392266, -0.11768]"
282,23.25,1010.49,"[9.45361, -0.11768, -0.313813]"
283,23.5625,1010.24,"[9.76742, -0.431492, -0.11768]"
284,23.1875,1010.49,"[9.53206, -0.11768, -0.196133]"
285,23.5625,1010.25,"[9.80664, -0.431492, -0.0784532]"
286,23.1875,1010.49,"[9.57129, -0.0784532, -0.156906]"
287,23.625,1010.25,"[9.7282, -0.392266, -0.0392266]"
288,23.1875,1010.49,"[9.45361, -0.11768, -0.23536]"
289,23.5625,1010.24,"[9.7282, -0.431492, -0.0784532]"
290,23.25,1010.49,"[9.41438, -0.11768, -0.156906]"
291,23.5625,1010.24,"[9.76742, -0.392266, -0.0784532]"
292,23.1875,1010.49,"[9.37515, -0.0784532, -0.274586]"
293,23.625,1010.25,"[9.7282, -0.392266, -0.0784532]"
294,23.25,1010.49,"[9.49284, -0.0784532, -0.156906]"
295,23.625,1010.24,"[9.7282, -0.509946, -0.156906]"
296,23.1875,1010.49,"[9.57129, -0.11768, -0.23536]"
297,23.5625,1010.25,"[9.7282, -0.470719, -0.11768]"
298,23.25,1010.49,"[9.45361, -0.0784532, -0.274586]"
299,23.5625,1010.24,"[9.76742, -0.431492, -0.0784532]"
300,23.1875,1010.48,"[9.57129, -0.0784532, -0.274586]"
301,23.5625,1010.23,"[9.76742, -0.431492, -0.0784532]"
302,23.25,1010.48,"[9.49284, -0.0784532, -0.23536]"
303,23.625,1010.23,"[9.84587, -0.666852, -0.196133]"
304,23.1875,1010.47,"[9.49284, -0.0784532, -0.23536]"
305,23.5625,1010.23,"[9.84587, -0.353039, -0.196133]"
306,23.1875,1010.47,"[9.57129, -0.196133, -0.274586]"
307,23.625,1010.23,"[9.84587, -0.431492, -0.156906]"
308,23.1875,1010.48,"[9.57129, -0.0784532, -0.274586]"
309,23.625,1010.23,"[9.80664, -0.470719, -0.11768]"
310,23.1875,1010.48,"[9.49284, -0.196133, -0.274586]"
311,23.625,1010.23,"[9.84587, -0.392266, -0.0392266]"
312,23.1875,1010.49,"[9.45361, -0.0784532, -0.313813]"
313,23.5625,1010.24,"[9.76742, -0.431492, -0.11768]"
314,23.1875,1010.49,"[9.53206, -0.11768, 0.0]"
315,23.625,1010.24,"[9.68897, -0.470719, 0.0784532]"
316,23.1875,1010.49,"[9.53206, -0.0784532, -0.196133]"
317,23.625,1010.24,"[9.7282, -0.392266, 0.0]"
318,23.25,1010.49,"[9.53206, -0.156906, -0.196133]"
319,23.5625,1010.24,"[9.80664, -0.509946, -0.0784532]"
320,23.1875,1010.49,"[9.57129, -0.0784532, -0.274586]"
321,23.625,1010.24,"[9.7282, -0.392266, 0.0]"
322,23.1875,1010.49,"[9.57129, -0.11768, -0.156906]"
323,23.625,1010.24,"[9.76742, -0.392266, -0.0784532]"
324,23.1875,1010.49,"[9.53206, -0.11768, -0.196133]"
325,23.5625,1010.24,"[9.7282, -0.470719, -0.11768]"
326,23.1875,1010.49,"[9.57129, -0.156906, -0.274586]"
327,23.625,1010.24,"[9.7282, -0.392266, -0.0392266]"
328,23.1875,1010.49,"[9.53206, -0.0784532, -0.196133]"
329,23.1875,1010.49,"[9.57129, -0.0392266, -0.156906]"
330,23.625,1010.25,"[9.76742, -0.431492, -0.0784532]"
331,23.6875,1010.24,"[9.80664, -0.470719, -0.0784532]"
332,23.1875,1010.49,"[9.61051, -0.196133, -0.23536]"
333,23.625,1010.24,"[9.80664, -0.509946, 0.0392266]"
334,23.25,1010.49,"[9.37515, -0.0784532, -0.156906]"
335,23.625,1010.25,"[9.8851, -0.313813, -0.0392266]"
336,23.25,1010.49,"[9.45361, -0.11768, -0.23536]"
337,23.6875,1010.25,"[9.76742, -0.470719, -0.0784532]"
338,23.1875,1010.49,"[9.49284, -0.0784532, -0.196133]"
339,23.6875,1010.25,"[9.68897, -0.470719, -0.0784532]"
340,23.1875,1010.49,"[9.45361, -0.0784532, -0.196133]"
341,23.625,1010.24,"[9.84587, -0.509946, -0.196133]"
342,23.1875,1010.49,"[9.53206, -0.11768, -0.313813]"
343,23.625,1010.24,"[9.80664, -0.431492, 0.0]"
344,23.1875,1010.49,"[9.53206, -0.11768, -0.23536]"
345,23.625,1010.24,"[9.80664, -0.470719, -0.11768]"
346,23.625,1010.25,"[9.8851, -0.392266, -0.11768]"
347,23.1875,1010.49,"[9.45361, -0.0392266, -0.274586]"
348,23.625,1010.24,"[9.84587, -0.274586, -0.0784532]"
349,23.1875,1010.49,"[9.57129, -0.11768, -0.353039]"
350,23.6875,1010.24,"[9.80664, -0.392266, -0.0784532]"
351,23.625,1010.24,"[9.76742, -0.392266, -0.0784532]"
352,23.625,1010.25,"[9.80664, -0.431492, -0.0784532]"
353,23.625,1010.24,"[9.7282, -0.431492, 0.0]"
354,23.625,1010.24,"[9.76742, -0.470719, -0.0784532]"
355,23.25,1010.49,"[9.45361, -0.0784532, -0.23536]"
356,23.1875,1010.49,"[9.53206, 0.0, -0.274586]"
357,23.5625,1010.25,"[9.64974, -0.470719, -0.196133]"
358,23.1875,1010.49,"[9.57129, -0.11768, -0.156906]"
359,23.625,1010.25,"[9.8851, -0.509946, -0.23536]"
360,23.1875,1010.49,"[9.57129, -0.11768, -0.23536]"
361,23.625,1010.24,"[9.64974, -0.431492, 0.0]"
362,23.25,1010.49,"[9.53206, -0.0784532, -0.23536]"
363,23.625,1010.24,"[9.7282, -0.509946, -0.11768]"
364,23.1875,1010.49,"[9.53206, -0.156906, -0.23536]"
365,23.6875,1010.24,"[9.84587, -0.392266, 0.0]"
366,23.25,1010.49,"[9.53206, -0.0784532, -0.156906]"
367,23.625,1010.24,"[9.76742, -0.431492, -0.11768]"
368,23.1875,1010.49,"[9.53206, -0.11768, -0.313813]"
369,23.6875,1010.24,"[9.64974, -0.392266, -0.196133]"
370,23.25,1010.49,"[9.49284, -0.0784532, -0.274586]"
371,23.625,1010.24,"[9.96355, -0.274586, -0.0784532]"
372,23.1875,1010.49,"[9.53206, -0.0784532, -0.23536]"
373,23.625,1010.24,"[9.80664, -0.509946, -0.196133]"
374,23.1875,1010.49,"[9.49284, -0.0784532, -0.156906]"
375,23.625,1010.24,"[9.84587, -0.431492, -0.0392266]"
376,23.1875,1010.49,"[9.45361, -0.156906, -0.196133]"
