time,acc_x,acc_y,acc_z
1702042209187.835,-0.628,0.0,9.061
1702042209187.85,-0.667,-0.039,9.14
1702042209187.865,-0.51,-0.078,9.14
1702042209187.88,-0.706,-0.039,9.101
1702042209187.895,-0.588,-0.078,9.14
1702042209187.91,-0.667,-0.039,9.061
1702042209187.925,-0.628,-0.078,9.101
1702042209187.94,-0.628,0.0,9.14
1702042209187.955,-0.628,-0.078,9.101
1702042209187.97,-0.628,-0.039,9.101
1702042209187.985,-0.667,-0.078,9.101
1702042209188.0,-0.667,0.0,9.101
